match,wc,round,grp,md,played_on,home,away,HG,AG,result_raw,host_h,host_a,source
M-2026-035,2026,group stage,group-f,3,26-06-26,japan,Sweden,1,1,1—1,No,0,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F
M-2026-036,2026,fase de grupos,F,3,"Jun 26, 2026",Tunisia,The Netherlands,1,3,1-3,0,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F
M-2026-041,2026,GS,G,3,2026-06-26,Egypt,IR Iran,,1,1–1,FALSE,no,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G
M-2026-042,2026,group stage,Grupo G,3,26/06/2026,New Zealand,Belgium,1,5,1 : 5,no,No,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G
M-2026-047,2026,fase de grupos,group-h,3,06/26/2026,Cape Verde,Saudi-Arabia,0,0,0 x 0,No,0,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H
M-2026-048,2026,GS,H,3,26-06-26,Uruguay,España,0,1,0—1,0,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H
M-2026-053,2026,group stage,I,3,"Jun 26, 2026",Norway,France,1,4,1-4,FALSE,no,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I
M-2026-054,2026,fase de grupos,Grupo I,3,2026-06-26,Senegal,Iraq,5,0,5–0,no,No,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I
M-2026-059,2026,GS,group-j,3,27/06/2026,Algeria,Austria,3,3,3 : 3,No,0,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J
M-2026-060,2026,group stage,J,3,06/27/2026,Jordan,Argentina,1,3,1 x 3,0,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J
M-2026-065,2026,fase de grupos,K,3,27-06-26,Colombia,Portugal,0,0,0—0,FALSE,no,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K
M-2026-066,2026,GS,Grupo K,3,"Jun 27, 2026",Congo DR,Uzbekistan,3,1,3-1,no,No,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K
M-2026-071,2026,group stage,group-l,3,2026-06-27,Panama,ENGLAND,,s/d,0–2,No,0,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L
M-2026-072,2026,fase de grupos,L,3,27/06/2026,Croatia,Ghana,2,1,2 : 1,0,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L
